review_id,review_text,rating,date,category,confidence
1,"Unfortunately, it's far too crowded.",3,2026-01-27 16:36:20.098000+00:00,General Experience Complaint,0.365163654088974
2,Not worth the 35 dollars. Rude unhelpful staff at the front desk. Better off spending your money elsewhere,1,2026-01-22 14:20:49.729000+00:00,General Experience Complaint,0.4439890682697296
3,"In my opinion, this place is a bit overrated. The complex is interesting, but the climb up the thousand steps is tedious and probably not worth the rather large sums of money that locals charge tourists. I definitely liked the nearby Pidurangala better, where the entrance fee was ridiculously cheap, the route to the top was much more interesting (but also challenging – boulders, rocks, crevices, etc.), and the view from the top was equally impressive, but it offered more space and space to admire the sunset or simply relax.",3,2026-01-19 16:14:26.552000+00:00,General Experience Complaint,0.2588973045349121
4,"The sunrise is very good to watch from here. However, the entrance fee is very high at $30 per person. If you're not specifically interested in the ruins, you should watch the sunrise and/or sunset from Pidurangala Rock instead. The entrance fee there is only 1000 LKR and the view is at least as good.",3,2026-01-04 04:49:16.895000+00:00,Ticket Price Issues,0.2996898293495178
5,Not sure if this is right. 95 times more for foreigners?!,1,2025-12-17 02:38:15.780000+00:00,General Experience Complaint,0.2565579414367676
6,"Definitely skip this place! Nothing is marked or explained, so you can’t really understand or imagine how it looked in the past. You basically stand on top, look at three rows of stacked bricks and one pool — for $35 per person, absolutely not worth it.
If you want the view, go to the nearby mountain where you get the same view for just a few euros (around €2–3).
We honestly regret wasting $70.",1,2025-11-28 13:18:30.248000+00:00,General Experience Complaint,0.4413940906524658
7,"We went to see Lion Rock with overly high expectations. What we found at the top were a few ruins and many abandoned dogs in very poor health. The views are surely spectacular if it's not raining, but honestly, it's not worth the $35 we paid per person. It was unfortunately a huge disappointment for us.",2,2025-11-27 10:07:21.182000+00:00,Ticket Price Issues,0.40278899669647217
8,Ayahapath kalagunaya nisa sankaraya kaltabanaladi,1,2025-11-25 10:51:18.618000+00:00,General Experience Complaint,0.5130468606948853
9,It's incredibly expensive; we didn't go up the rock because of the high entrance fee. There are nicer spots nearby that offer a good view of Lion Rock!,1,2025-11-25 09:44:11.835000+00:00,General Experience Complaint,0.2754113972187042
10,"If you don't pay the $35 per person, you won't see a thing!

Except for about fifteen guides who will jump on you.
Ultimately, the worst place in the country; it's shameful.",1,2025-11-09 15:54:41.184000+00:00,Ticket Price Issues,0.31009772419929504
